"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CFZ2CF8J","book","1928","Ներսէս Շնորհալի [Nersês Šnorhali]","Տն. Ներսեսի Շնորհալւոյ Հայոց Կաթողիկոսի Բանք չափաւ [Verses by Lord Nersês Shorhali, Kat'oghikos of the Armenians]","","","","","https://www.opendata.uni-halle.de/explore?bitstream_id=fda24932-e522-47ae-9fc6-2d328a58a1d6&handle=1981185920/118378&provider=iiif-image","","1928","2026-01-30 12:22:19","2026-02-05 20:13:37","","","","","","","","","Ընտիր մատենագիրք","","","","Ի Սուրբն Ղազար","Վենետիկ [Venice]","հայերեն [Armenian]","","","","","","","","","","","Medieval Armenian Literature; Middle Ages; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Nersesi Shnorhalwoy hayotsʻ Katʻoghikosi Bankʻ chʻapʻaw; Nersesi Šnorhalwoy hayoc῾ Kat῾ołikosi Bank῾ č῾ap῾aw; Poetry; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS8Z3X5F","book","1971","Արիստակես Լաստիվերցի [Aristakes Lastivertc‘i]; Մանուկյան [Manukyan], Գ. [G.]","Պատմություն [History]","","","","","http://ijevanlib.ysu.am/wp-content/uploads/2018/03/lastiverci.pdf","","1971","2026-01-30 12:22:19","2026-02-05 18:02:36","","","","","","","","","","","","","""Հայաստան"" Հրատարակչություն","Երեւան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","","","","","Bagratid Armenia; Historiography; Medieval Armenia; Primary source; Primary Sources [Grabar] - Modern Armenian translation; Saljuqs (Seljuks, Seljuqs); Seljuks; XI century; Արիստակես Լաստիվերտցի | Аристакес Ластиверци | Аристакес Ластиверци | Արիստակես Լաստիվերցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվերտցի | Արիստակես Լաստիվերտւոյ | Аристакес Ластиверци | Aristakes Lastivertsi","","Աբրահամյան [Abrahamyan], Ա. Գ. [A. G.]","","Գևորգյան [Gevorgyan], Վ.[V.]","Մանուկյան [Manukyan], Գ. [G.]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHCPR76Z","journalArticle","1928","Ներսես Շնորհալի [Nerses Šnorhali]","Ներսես  Շնորհալի, Գանձ Փոխման Աստուածածնին [Nersēs Šnorhali, Hymn on the Dormition of the God-Bearer]","Հայոց Կաթողիկոսի Բանք Չափաի","","","","","","1928","2026-01-30 12:22:19","2026-02-05 20:29:24","","528-535","","","","","","","","","","","","","հայերեն [Armenian]","","","","","","","","","","","Hymnography; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U589L6ZK","book","1977","Մանուկյան [Manukyan], Գուրգեն Մ․[Gurgen M.]","Արիստակես Լաստիվերցի [Aristakes Lastiverc'i]","","","","","","","1977","2026-01-30 12:22:19","2026-02-05 17:58:36","","","","","","","","","","","","","Երևանի Համալսարանի Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Aristakes Lastivertc'i [Aristakes of Lastivert]; Greater Armenia; Historiography; Middle Ages; Saljuqs (Seljuks, Seljuqs); XI Century; Արիստակես Լաստիվերտցի | Аристакес Ластиверци | Аристакес Ластиверци | Արիստակես Լաստիվերցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվերտցի | Արիստակես Լաստիվերտւոյ | Аристакес Ластиверци | Aristakes Lastivertsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQ3PQTL6","book","1871","Ներսէս Շնորհալի [Nersês Šnorhali]","Ընդհանրական թուղթք սրբոյն Ներսիսի Շնորհալւոյ [Encyclical Letters of Nerses Šnorhali]","","","","","https://books.google.at/books?id=2glcAAAAcAAJ&pg=PP14&hl=hy&source=gbs_selected_pages&cad=1#v=onepage&q&f=false","","1871","2026-01-30 12:22:19","2026-02-05 19:54:22","","","","","","","","","","","","","ի Տպարանի Առաքելական Աթոռոյ Սրբոց Յակովբեանց","Յերուսաղէմ [Jerusalem]","հայերեն [Armenian]","","","","","","","","","","","Armenian Cilicia; Byzantine-Armenian Relations; Ecumenical Dialogue; Letters; Medieval Armenia; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Orthopraxy; Primary Sources [Grabar]; Syriac-Armenian Relations; Theology; XII century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTC2MQ5E","book","1977","","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","","https://archive.org/details/Shnorhali1977/mode/2up","","1977","2026-01-30 12:22:19","2026-02-05 18:41:19","","","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","Խաչիկյան [Xač'ikyan], Լ. Ս. [L. S.]; Մկրյան [Mkryan], Մ. Մ. [M. M.]; Նալբանդյան [Nalbandyan], Վ. Ս. [V. S.]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2E7ZN45","book","1973","Ներսես Շնորհալի [Nerses Šnorhali]","Ողբ Եդեսիոյ [Lament on Edessa]","","","","","","","1973","2026-01-30 12:22:19","2026-02-05 20:09:28","","","","","","","","","","","","","ՀՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","http://worldcat.org","","Annotations by Մկրտչյան [Mkrtčʻyan] Մանիկ Սիմոն [Manik Simon]","","","","Armenian Literature; Edessa; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Poetry; Saljuqs (Seljuks, Seljuqs); XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","Մկրտչյան [Mkrtčʻyan], Մանիկ Սիմոն [Manik Simon]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6JD3LVP","journalArticle","1996","Անանեան [Ananean], Պօղոս [Pôłos]","Ներսես Շնորհալի: Միջեկեղեցական Յարաբերութիւններ [Nerses Šnorhali: Inter-Ecclesiastical Relations]","Բազմավեպ 154","","","","https://arar.sci.am/dlibra/publication/301672/edition/276778/content","","1996","2026-01-30 12:22:19","2026-02-05 18:23:57","","201-229","","","","","","","","","","","","","հայերեն [Armenian]","","","","","","","","","","","Armenia and the Crusades; Armenian Church; Armenian church history; Armenian Cilicia; Ecumenical Dialogue; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Nerses Šnorhali: Miǰekełec῾akan Yaraberowt῾iinner; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI7V7QDY","book","1991","Ներսես Շնորհալի [Nerses Šnorhali]","Հիսուս Որդի [Jesus Son]","","5-8079-0313-7","","","https://arar.sci.am/dlibra/publication/454669/edition/422212/content?ref=L3B1YmxpY2F0aW9uLzQyMzE3My9lZGl0aW9uLzM5MDI5OQ","","1991","2026-01-30 12:22:19","2026-02-05 17:42:43","","","","","","","","","","","","","Ապոլոն Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","/z-wcorg/","","","","","","","","Biblical narrative in poetry; Eschatology; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nersēs Šnorhali [Nerses Shnorhali]; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Primary Sources [Grabar] + Modern Armenian translation; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","Բոզոյան [Bozoyan], Ազատ [Azat]; Մովսես [Movses], Հակոբ [Hakob]","","Ղազարյան [Łazaryan], Վիգեն [Vigen]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJUPQYHN","book","1963","Արիստակէս Լաստիվերցի [Aristakês Lastiverc῾i]","Պատմութիւն Արիստակիսի Լաստիվերտցւոյ [The History of Aristakes Lastivertc'i]","","","","","https://archive.org/details/LastiverttsiGrabar1963/page/n1/mode/2up","","1963","2026-01-30 12:22:19","2026-02-05 18:32:40","","","","","","","","","","","","","Հայկական ՍՍՌ Գիտությունների Ակադեմիայի Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Aristakes Lastivertc'i [Aristakes of Lastivert]; Historiography; Medieval Armenia; Primary Sources [Grabar]; Seljuks; XI century; Արիստակես Լաստիվերտցի | Аристакес Ластиверци | Аристакес Ластиверци | Արիստակես Լաստիվերցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվէրտցի | Արիստակէս Լաստիվերտցի | Արիստակես Լաստիվերտւոյ | Аристакес Ластиверци | Aristakes Lastivertsi","","Յուզբաշյան [Yuzbašian], Կարեն Ն. [Karen N.]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
